code,disease,primary
E23,хипопитуитариз състояни лъчетерапи повод медулобластом,0
E23,хипопитуитаризмус хипокортициз хипотиреоидиз хипоовариз некомпенсира,0
E23,хипопитуитариз хипотиреоидиз хипоовариз,0
E23,хипопитуитариз вторич хипогонадиз хипосоматотропиз,0
E23,хипопитуитариз хипотиреоидиз хипосоматотропиз хипогонадиз,0
E23,хипопитуитариз хипоовариз,0
E23,хипопитуитариз хипокортициз хипотиреоидиз,0
E23,хипопитуитариз хипогонадиз хипотиреоидиз обс,0
E23,хипопитуитариз хипокортициз хипоовариз артериал хипертони іігр,0
E23,хипопитуитариз хипокортициз хипотиреоидиз хипогонадиз,0
E23,хипопитуитариз химотиреоидиз хипогонадиз хипосоматотропиз,0
E23,хипопитуитаризмус парциалис хипотиреоидизмус хипооваризмус статус пост реаденомектомиам транссфеноидалем ет телегаматерапи,0
E23,хипопитуитариз хипотиреоидиз хипогонадиз хипосоматотропиз,0
E23,хипопитуитариз хипогонадиз хипотиреоидиз хипокортициз,0
E23,макропролактином хипопитуитариз хипотиреоидиз хипогонадиз полинодоз струма метаболит синдром наруш гликем гликем гладн обезитет дислипидем артериал хипертони хепатри б,0
E23,хипопитуитаризмус хипокортициз хипотиреоидиз хипоовариз инсипид диабет,0
E23,безвкус диабет,0
E23,безвкус диабет постоператив,0
E23,безвкус диабет централ мкб е23,0
E23,централ безвкус диабет идиопатич форм,0
E23,вторич безвкус диабет,0
E23,хипоталамич дисфункци,0
E23,хипаталамич дисфункци,0
E23,хипоталамич дисфункця,0
E23,хипоталамич дисфункци морга море стюарт,0
E23,хипоталамоч дисфункци,0
E23,хипоталамич дисфункци синдром морга море стюарт,0
E23,хипоталамича дисфункци,0
E23,хипоталамич дисфункци морга море стюарт,0
E23,хипоталамич дисфунки,0
E23,хипоталамич дисфункици,0
E23,хипоталамич дисфункци синдром морга море стюарт,0
E23,хипоталамич дисфункци тиреоидит хашим,0
E23,хипоталамич затлъстяван,0
E23,хипоталамчн дисфункци,0
E23,хипоталамич дисфункци състояни трансфеноидал аденомектом двустран фибромастопат,0
E23,хипоталамич дисфункци тревож разтройств фиброаденом лява млечн жлеза,0
E23,хипоталамич дисфункци първич хиперпаратиреоидиз,0
E23,хипоталамич дисфункци полинодоз струма ii степен,0
E23,хипоталамич дсфункци,0
E23,хипоталамич дисфункци захар диабет тип 2 диабет полиневропат хипоалдостерониз,0
E23,хиполамич дисфункци,0
E23,хипоталамич дисфункци синдром морга море стюарт невровегетатив симптомати,0
E23,хипоталамич синдром морга море стюарт,0
E23,хипоталамич дисфункци,0
E23,хипорталамич дисфункци постоператив хипотиреоидиз,0
E23,хипоталамич дисфункци струма нодоз i б артериал хипеетони ii степен,0
E23,хипоталамич дисфункци синдром морга море стюарт,0
E23,хипоталамич дисфункци артериал хипертони i степен,0
E23,хипоталамич дисфункци състояни операци гигантскоклетъч реператив гранулом,0
E23,хипоталамич дисфункци метаболит синдром обезитет дислипидем артериал хипертони,0
E23,хипоталамич дисфункци хиперплази леви надбъбре субклинич хипотиреоидиз,0
E23,хипоталамич дисфункци еутиреоид нодоз струма,0
E24,ектопич актн синдром,0
E24,ектопич актх синдром,0
E26,хипералдостерониз,0
E26,първич хипералдостерониз,0
E26,първич хипералдостерониз синдром кон,0
E26,първич хипералдостерониз обс синдром кон,0
E26,вторич хипералдостерониз дисков херни l5 s1 l4 l5 с6 с7,0
E26,вторич хипералдостерониз,0
E26,вторич хипералдостерониз струма нодоз i б,0
E27,адисонов болест,0
E27,адисонов болест прекриз,0
E27,адисонов болест криза,0
E27,медикаментоз обуслов адренокортикал недостатъчност,0
E28,синдром поликистич яйчни,0
E28,синдром поликистоз яйчни,0
E28,синдром поликистоз яйчни,0
E28,синдром овариал поликистоз,0
E28,синдром яйчников поликистоз,0
E28,синдром поликистоз яйчни хирсутиз,0
E28,поликистоз болест яйчни,0
E28,синдром поликистич яйчни,0
E28,овариал дисфункци,0
E28,овариал поликистоз,0
E28,овариал дисфункци синдром поликистич яйчни,0
E28,овариал дисфункця,0
E28,овариал дисфункци пролактином,0
E28,овариал дисункци,0
E28,овариал хиперандроген,0
E28,овариал дисфункци,0
E28,овариал дисфункци поликистоз овариал синдром,0
E28,овариал дисфункци синдром поликистоз яйчни,0
E28,овриал дисфункци,0
E28,овариал дисфукци,0
E28,овариал дифункци,0
E29,тестикулар дисфункци,0
E29,тестикулар хипофункци синдром клайнфелтер,0
E66,екстрем затлъстяван хиповентилаци,0
E79,хиперурикем,0
E79,хиперурикем,0
E79,хиперурикем,0
E79,хиперурикем чернодроб стеатоз пиелонефритис хрони калкулоз,0
E79,хиперурикем,0
E79,подагроз артри,0
E79,хиперурикем,0
E80,порфири,0
F01,мултифокал енцефалопат,0
F01,мултиинфаркт енцефалопат,0
F01,мултиинфарт енцефалопат,0
F01,мултиинфаркт енцефалопат,0
F06,психич заболяван f20,0
F20,шизофрен,0
F25,шизоафектив разстройств мани тип,0
F31,биполяр афектив растроиств,0
F32,умер тежък депресив епизод,0
F33,рецидивира депресив разстройств,0
F33,рецидивира предсърд мъжден,0
F41,паническ разстройств,0
F41,паническ афектив разстройств,0
F41,паническ растройств,0
F41,тревож депресив синдром,0
F41,тревож депресив синдром,0
F41,тревож депресив синдром,0
F41,тревож депресив синдром,0
F41,тревож хиподепресив синдром,0
F93,фоби тревож разстройств,0
G24,дистони невровегетатив,0
G41,парциал хипопитуиториз хипотиреоидиз хипоовариз,0
G43,мигр,0
G45,транзитор исхемич атак вбс,0
G50,тригеминал невралги,0
G56,синдром карпал кана,0
G56,карпа туне синдром,0
G56,синдром карпал кана медиан нерв,0
G59,диабет автоном невропат,0
G59,субклинич диабет полиневропат,0
G59,диабет мононевропат,0
G63,диабет полиневропат начал,0
G63,диабет полиневропат,0
G63,диабет полиневропат диабет остеоартропат,0
G63,диабет полиневопат,0
G63,тежк диабет полиневропат,0
G63,диабет полиневропат,0
G63,диабет полинев ропат,0
G63,диабет полиневропат тежк болков сензомотор форм,0
G63,диабет полиневропти,0
G63,диабет полиневрапат,0
G63,дистал симетрич сенз мотор диабет полиневропат,0
G63,дистал симетрич сензомотор диабет полиневропат,0
G63,дистал симетрич полиневропат,0
G63,дистал симетрич сензорномотор полиневропат,0
G63,диабет полиневрпат,0
G63,полиневропат,0
G63,полиневропат диабети,0
G63,диабет полиневропат,0
G63,полиневропат диабети тиреотоксикоз токсич полинодоз струма,0
G63,диабет полиневропат,0
G63,полиневропат ретинопат диабети,0
G63,диабет полиневропат ретинопат нефропат,0
G63,диабет рети полиневропат,0
G63,полиневропат нефропат ретинопат диабети,0
G63,диабет полиневропахи,0
G63,дибет полиневропат,0
G63,полиневропат ет нефропат диабети,0
G63,невр рети нефропат диабети,0
G63,ретинопат полиневропат нефропат диабети,0
G63,полиневропат м горн долн крайни,0
G63,полиневр рети ет нефропат диабети,0
G63,полиневропат синдром,0
G63,диаб полиневропат,0
G63,рети полиневропат диабети,0
G63,полиневропат диабети тиреотоксикоз токсич полинодоз струма і епизод терапевтич ремиси,0
G63,полиневр рети ет нефропат диабети макроангиопат диабети,0
G63,диабет дистал симетрич сензомотор полиневропат,0
G63,полиневропат диабети хипертони артериалис ii ст ибс,0
G63,даиебтн полиневропат,0
G63,диабет дистал симетрич палиневропат,0
G63,диабет дистал симетрич сензор полиневропат,0
G63,диабет поленвевропат,0
G63,полиневропат ретинопат нефропат диабети,0
G63,дибает полиневропат,0
G63,начал полиневропат ретинопат,0
G90,кардиоваскулар автоном невропат,0
H25,катаракт,0
H25,катаракт сенилис,0
H25,катаракт ляво око,0
H25,катаракт синис,0
H25,катаракт комплик инципиенс ок,0
H25,патологич катаракт,0
H26,сенил катаракт дясн око,0
H35,непролифератив ретинопат,0
H35,ретинопат,0
H36,диабет ретинопат,0
H36,диабет пролифератив ретинопат,0
H36,диабет ретинопат състояни алк,0
H36,полиневропат ретинопат диабети,0
H36,диабет полиневропат ретинопат нефропат,0
H36,диабет рети полиневропат,0
H36,диабет ретинопат състояни алк,0
H36,ретинопат полиневропат нефропат диабети,0
H36,полиневр рети ет нефропат диабети,0
H36,диает ретинопат,0
H36,рети полиневропат диабети,0
H36,полиневропат ретинопат нефропат диабети,0
H36,диабет ретипотаия,0
H36,диабет ретинопатиясъстояни мозъч инфаркт басейн дсма,0
H36,полиневр рети ет нефропат диабети макроангиопат диабети,0
H36,диабет пролифератив ретинопоти,0
H36,диабет ретипонапи,0
H36,диабет пролифератив ретинапат,0
H36,диабет пролифератив ретинопат двустран хемофталм,0
H36,диабет пролифератив ретинопат състояни лазертерапи,0
H36,диабет ретинопат пролифератив,0
H36,диабет ретинопат състояни алс ибс,0
H36,диеабет ретинопат,0
H36,дибет ретинопат,0
H36,дибает ретинопат,0
H36,диабет полиневропат,0
H36,диабет пролифератив ретинопат състояни алс очи,0
H53,амблиопи,0
H81,световъртеж централ произход,0
I01,ревматич сърдеч поро,0
I01,ревматич болест сърц,0
I01,ревматич увреждан аорт клапа стеноз инсуфициенци,0
I05,митрал стеноз регургитаци,0
I05,митрал аорт трикуспидал инсуфициенци,0
I05,релатив митрал инсуфициенци,0
I05,ркб митрал стеноз,0
I07,трикуспидал регургитаци 4 ст,0
I07,трикуспидал инсуфициенци іі ст,0
I07,релатив трикуспидал инсуфициенци,0
I07,трикуспидал региргитаци iст,0
I07,трикуспидал аорт регургитаци,0
I11,хипертонич сърц,0
I11,хипертонич сърдеч болест ііст,0
I11,сърдеч недостатъчност іі фк,0
I11,хипертонич сърдеч болест ііі кл,0
I11,хипертонич сърдеч болест,0
I11,хипертонич съдов болест ii ст икмп,0
I11,сърдеч недостатъчност ii ст,0
I11,хипертонич сърдеч болест іі ст ибс,0
I11,сърдеч недостатъчност,0
I11,сърдеч недостатъчност іі ііі ф к,0
I11,сърдеч недостатъчност іі фк мсб,0
I11,сърдеч недостатъчност іі ри фк nyhа,0
I11,сърдеч недостатъчност iii фк,0
I11,сърдеч недостатъчност ii ф к,0
I11,сърдеч недостатъчност ii фк рсп,0
I11,сърдеч недостатъчност ii фк,0
I11,хроничнт сърдеч недостатъчност iii фк,0
I11,сърдеч недостатъчност ііі ф к,0
I11,сърдеч недостатъчност іі фк,0
I11,хипертонич сърдеч болест ііі стади,0
I11,сърдеч недостатъчност ii iiiфк,0
I11,хипертонич сърц,0
I15,реновазал хипертони,0
I24,триклонов коронар болест,0
I24,двуклонов коронар болест,0
I24,ибс ритъм форм,0
I24,ибс стенокард стабил,0
I24,ибс пристъп предсърд мъжден сърдеч недостатъчност ii фк,0
I24,исхемич болест сърц лбб,0
I24,исхемич болест сърц състояни миокард инфаркт,0
I24,ибс ритъм форм,0
I24,ибс стабил стенокард,0
I24,исхемич болест сърц,0
I24,ибс,0
I24,исхемич болест сърц стабил стенокард,0
I24,исхемич болест сърц състояни акб х 4 протезиран митрал клапа,0
I24,ибс провод форм,0
I24,исхемич болест сърц състояни предносептал миокард инфаркт сърдеч недостатъчност іі фк митрал регургитаци ііі,0
I24,исхемич болест сърц състояни преден заден миокард инфаркт q зъбец,0
I31,адхезив десностран хронич аднексит,0
I42,дилататив кардиомиопат,0
I42,хипертрофич необструктив кардиомиопат,0
I42,хипертрофич кардиомиопат,0
I44,аv блок і ст,0
I44,ляв бедр блок,0
I45,десен бедр блок,0
I47,камер екстарасистол,0
I47,камер екстрасистол,0
I47,камер екстрасистол iv клас лаун,0
I47,камер надкамер екстрасистол,0
I47,камер екстрасистол бигемин,0
I47,пристъп надкамер тахикард,0
I47,надкамер екстрасистол,0
I47,надкамер пароксизмал тахикард,0
I47,надкамер екстрасистол,0
I47,пристъп надкамер тахиаритми,0
I47,синусов тахикард,0
I47,пристъп тахикард,0
I49,аритми абс предсърд мъжден,0
I49,абсолют аритми хронич предсърд мъжден,0
I49,абсолют аритми,0
I49,екстрасистол аритми,0
I49,аритми абсолю,0
I49,аритми абсолю предсърд мъжден,0
I49,екстрасистол суправентрикуларис,0
I49,екстрасистилоия вентрукулорум іі клас лоун,0
I49,аритми абсолю тао клас xа 3б 2а б актив,0
I49,екстрасистол вентрикулорум,0
I49,екстрасистол суправентрикулорум,0
I49,екстрасистол,0
I49,пристъп екстрасистол аритми,0
I49,екстрасистол вентрикуларис,0
I50,лявокамер систол дисфункци,0
I67,тромбоз,0
I80,тромбофлеби лява подбедриц,0
I80,тромбофлеби,0
I80,тромбофлеби подбедри,0
I80,тромбоз лява задн тибилиал артери,0
I80,тромбофлеби долн крайни,0
I80,тромбофлеби вена сафен магн синист асценденс,0
I84,хемороид,0
I84,хемороидал болест,0
I87,постфлебит синдром,0
J01,ост синуит,0
J18,десностран бронхопневмони,0
J32,хронич сфеноидал синуит,0
J32,хронич пансинуит,0
J32,хронич синуит,0
J35,хронич тонзилит,0
J41,хронич бронхит,0
J68,белодроб емфиз,0
J95,трахеостом 1995г,0
K21,рефлукс езофагит ii iii ст,0
K21,гастродуоденал рефлукс болест,0
K21,рефлуксезофагит iст,0
K21,рефлукс езофагит ст,0
K21,рефлукс езофагит,0
K21,рефлукс езофагит,0
K29,гастри,0
K29,хронич атрофич гастри,0
K29,атрофич гастри,0
K29,хронич гастри,0
K29,хронич ерозив гастри,0
K29,хронич ентероколит,0
K29,хронич ерозив атрофич гастри,0
K29,хронич гастри н,0
K29,хронич обостр гастри,0
K29,улкус дуод,0
K29,улкус дуод ремиси,0
K29,улкус булб дуод,0
K42,пъпн херни,0
K51,дебелочрев полипоз,0
K51,улцероз колит,0
K71,холестаз,0
K73,хронич хепатит,0
K73,хронич хепатит,0
K73,хронич хепатит,0
K75,порт основ ствол десен клон,0
K76,портал хипертони,0
K80,холелитиаз,0
K80,холелитиазис,0
K80,холилитиаз,0
K80,холелетиаз,0
K81,хронич холецистит,0
K81,хронич холециститит,0
K82,хидропс жлъчни мехур,0
K86,псевдокис панкреас,0
K86,псевдокист панкреас,0
L40,псориазис,0
L40,псиориазис,0
L40,псориазис кожна форм,0
L63,алопеци,0
L63,алопеци ареат,0
L67,струмя нодоз еутиреоидес,0
L67,проптер струма нодоз базедовифик,0
L67,спргт проптер струма нодоз,0
L67,спргт пропер струма нодоз базедовифик,0
L67,sрrрgt пропер струма нодоз базедовифик,0
L68,хирзутиз,0
L68,хирзутиз идиопатич,0
L70,акн вулгарис,0
L71,розацея,0
L93,систем лупус еритематодес,0
L93,систем лупус еритематодес субклинич форм ра,0
L94,склеродерми,0
M05,ревматоид артри,0
M05,ревматоид полиартри,0
M05,ревматоид артри хронич серопозитив,0
M06,серонегатив ревматоид артри,0
M16,коксарторизис декст,0
M16,двустран коксартроз,0
M16,коксартрозис билатералис,0
M16,билатерал коксартроз,0
M16,двустран коксартроз гонартроз,0
M16,двстранн коксартроз гонартроз,0
M16,двустран коксартроз анкилоз лява става,0
M17,гонартрозис билатералис,0
M43,спондилолистез l4,0
M43,деформира спондилоартроз,0
M46,ентезопат,0
M48,фрактур първ лумбал прешлен,0
M48,фрактур втора метатарзал кост ляво,0
M76,илиак синист,0
M76,илиак,0
M80,остеопорозис постменопаузалис,0
M80,остеопорозис постменопаузалис тежк степен,0
M80,остепороз постменопаузал,0
M80,остеопорозис постменопаузалис гравис,0
M80,остеопороз постменопаузал глюкокортикоид,0
M80,остеопороз постменопуазал вторич,0
M80,постеменопаузал остеопороз,0
M80,постеменопаузал остеопороз,0
M80,идиопатич остеопороз,0
M83,остеомалаци,0
M85,фиброз дисплази,0
M99,дисков протруцзи л4 л5 л5 с1,0
M99,дисков херни л4 л5,0
M99,дисков херни l4 l5,0
M99,дисков херни състояни операци,0
M99,дисков херни л5 с1,0
M99,дисков пролапс л4 л5,0
M99,дисков протрузи л4 л5 л5 с1,0
M99,дисков херни ниво с6 с7,0
M99,дисков херни l4 l5 l5 s1,0
M99,дисков херни,0
M99,дисков херни l5 s1,0
M99,дисков болест л4 л5,0
M99,дисков херни л5 л5 л5 с1,0
M99,дисков херни ниво с6 7 радикулопат ниво с7,0
M99,дисков херни 6 7 торакал прешлен,0
M99,дисков херни ниво l4 l5,0
M99,дисков херни л4 5 л5 с1,0
N11,пиелонефритис хрони,0
N11,пиелонефритис хрони калкулоз,0
N11,хронич пелонефри десни бъбре,0
N11,пиелонефритис хрони екзацерб,0
N11,пиелонефритис хр,0
N11,хронич пиелонефрет,0
N11,пиелонефритис хрони калкулоз екзацерб,0
N11,хронич персистира хепатит,0
N11,пиелонефри,0
N11,пиелонефритис хрони чест екзацербаци,0
N11,пиелонефриитс хрони калкулоз,0
N11,хронич пиелонефри леви бъбре,0
N11,аналгезийн тубу интерстициал нефропат,0
N11,хронич тубулоинтерстициал нефри,0
N11,хронич тубулоинтестициал нефри,0
N11,хронич тубу интерстициал нефри,0
N11,хронич тубулоинтерстициал нефри екзацербира,0
N15,тубулоинтерстициал увреждан бъбре васкулит,0
N25,инсипид диабет,0
N25,инсипид диабет дипсоген форм,0
N25,инсипид диабет дипсоген форм,0
N25,инсипид диабет централ,0
N25,инсипид диабет психоген полидипси,0
N25,инсипид диабет дипсоген форм,0
N25,инсипид диабет психоген полидипси,0
N25,инсипид диабет дипсоген,0
N25,централ инсипид диабет,0
N25,инсипид диабет дипсоген форм,0
N25,инсипид диабет централ,0
N25,нефроген инсипид диабет,0
N25,инсипид диабет централ парциал,0
N25,инсипид диабет дипсоген,0
N25,невроген инсипид диабет,0
N30,хронич цистит,0
N41,хронич простатит,0
N85,паратиреоид аденом,0
N91,аменоре секундариа,0
N95,климакс прекокс,0
N95,климакс,0
N95,климакс прекокс артериал хипертони ігр,0
N99,адхези плевр,0
O24,инсулинозавис захар диабет множеств усложн декомпенсира,0
P71,рекалцификацион тета,0
Q06,хипоплази лява вертебрал артери,0
Q10,агенези ренис декст,0
Q40,хиатус херни,0
Q54,скротал херт,0
Q61,кист бъбре,0
Q80,ихтиозис,0
Q85,неврофиброматоз,0
Q85,неврофиброматоз тип 1,0
Q96,синдром търнър,0
Q96,синдром търнер 46 хх q,0
Q96,синдром търнер,0
Q96,синдром търнер частич монозом х 46хdеl х р10,0
R16,спленомега,0
R19,тазов възпалител болест,0
R19,тазоворезервоар наруш,0
S04,тригеминус,0
S74,феморалис,0
S74,феморалис дясн,0
T78,ангионевротич едем,0
T78,полимедикаментоз алерги,0
T78,алергич синуит,0
T78,алерги,0
T78,полиалерги,0
T78,инсулинов алерги,0
T78,алерги неуточн,0
T84,митрал клапно протезиран,0
A18,тбк пневмофиброз,0
B17,неалкохол стеатоз хепатит,0
B18,хронич вирус хепатит,0
B35,онихомикоз,0
C75,вторич лези,0
D06,миоматоз матк,0
D06,миопи,0
D06,миоматоз възе матк,0
D06,миом утар,0
D06,миом утер,0
D06,миом матк,0
D06,миом,0
D06,миоматоз матк дислипидем,0
D06,миопи ексцесив дегенератив ок утр,0
D13,чернодроб хемангиом,0
D29,аденом простат жлеза,0
D29,аден простат,0
D29,аденом простат,0
D29,аденом прост,0
D29,аденом простат жлеза,0
D30,тумор ляв бъбре,0
D30,утерус миоматозус,0
D30,утерус миоматозус,0
D30,утерус миоматоус,0
D35,аденом дясн надбъбреч жлеза,0
D35,аденом лява надбъбреч жлеза,0
D35,аденом дясн надбъбреч жлеза,0
D35,аденом дясн надбъбреч жлеза обс,0
D35,феохромоцитом,0
D35,феохромоцитом дясн надбъбреч жлеза,0
D35,аденом лява надбъбреч жлеза инциденталом,0
D35,аденом дясн надбъбреч жлеза инциденталом,0
D35,аденом лява надбъбреч жлеза феохромоцитом,0
D35,аденом дясн надбъбреч жлеза инциденталом,0
D35,феохромоцитом аденом лява надбъбреч жлеза,0
D35,аденом надбъбреч жлези,0
D35,аденом дясн надбъбреч жлеза,0
D35,аденом надбъбреч жлеза,0
D35,двустран аденом надбъбреч жлези инциденталом,0
D35,аденом дясн надбъбреч жлеза метастаз светлоклетъч бъбречноклетъч карцином,0
D35,аденом лява надбъбреч жлеза хормононескретира,0
D35,аденом лява надбъбреч жлеза инциденталом,0
D35,аденом лява набъбреч жлеза,0
D35,аденом лява надбъбречн жлеза,0
D35,феохромоцитом декст,0
D35,аденом лява надбъбреч жлеза инциденталом артериал хипертони ііігр,0
D35,аденом лява надбъбреч жлеза инциденталом,0
D35,аденом надбъбреч жлези,0
D35,аденом лява надбъбреч жлеза хормононесекретира,0
D35,аденом лява надбъбреч жлеза хормононесекретира,0
D35,феохромицитом,0
D35,аденом лява надбъбреч жлеза инциденталом състояни ендоскопск операци аденом,0
D35,аденом дясн надбъбреч жлеза хормононесекретира,0
D35,феохромоцитом пикоч мехур,0
D35,тумор лява надбъбреч жлеза,0
D35,аденом дясн надбъбреч жлеза хормононесекретира,0
D35,феохромоцитом двустран,0
D35,аденом ляват надбъбреч жлеза,0
D35,аденом лява надбъбреч жлеза инциденталом,0
D35,аденом дясн надбъбреч жлеза,0
D35,феохромоцитом рецидив,0
D35,аденом надбъбреч жлези инциденталом,0
D35,тумор дясн надбъбреч жлеза,0
D35,аденом дясн надбъбреч жлеза инциденталом,0
D35,аденом дясн долн паращитовид жлеза,0
D35,аденом дясн паратиреоид жлеза,0
D35,аденом лява дясн парищитовид жлези,0
D35,аденом дясн паращитовид жлеза,0
D35,аденом лява паращитовид жлеза,0
D35,микроаденом хипофиз,0
D35,аденом гландул хипофизеос хормононесекретира,0
D35,аденом хипофиз хормононесекретира,0
D35,микроаденом хипофиз инциденталом,0
D35,аденом хипофиз несекретира микроаденом,0
D35,аденом хипофиз хормононесекретира,0
D35,аденом хипофиз микроаденом пролактином,0
D35,аденом хипофиз инфудибулом хормононепродуцира,0
D35,аденом хипофиз несекретира макроаденом,0
D35,макроаденом хипофиз хормононесекретира,0
D35,аденом хипофиз несекрегтира макроаденом,0
D35,аденом гландул хипофизеос пролактином,0
D35,хипофизар аденом хормон несекретира инциденталом,0
D35,аденом гландул хипофизеос хормононесекретира,0
D35,хипофизар аденом тsh секретира,0
D35,микроаденом хипофиз инциденталом,0
D35,аденом хипофиз хормононесекретира,0
D35,аденом хипофиз инциденталом,0
D35,аденом хипофиз инциденталом,0
D35,аденом хипофиз състояни повод мсх секретира аденом,0
D35,аденом хипофиз хормононесекретира,0
D35,аденом хипофиз пролактином,0
D35,аденом хипофиз пролактином,0
D35,аденом хипофиз хормононескретира,0
D35,аденом хипофиз инциденталом,0
D35,аденом гландул хипофизеус,0
D35,хипофиз макроаденом пролактином,0
D35,аденом хипофиз нефункционира,0
D35,хипофизар аденом тсх секретира,0
D35,микроаденом хпофиз инциденталом,0
D35,аденом хипофиз микроаденом инциденталом,0
D35,аденом хипофиз хормононесекретира,0
D35,микроаденом гл,0
D35,аденом хипофиз инциденталом,0
D35,аденом хипофиз,0
D35,аденом хипофиз хормононесекретира микроаденом,0
D35,доброкачеств образувани хипофиз краниофарингеом състояни транскраниал операци,0
D35,аденом хипофиз хипертонич болест,0
D35,микроаденом хипофиз,0
D35,микроаденом хипофиз хормононесекретира,0
D35,микроаденом хипофиз хормононесекретира,0
D35,макроаденом хипофиз хормононесекретира,0
D35,аденом хипофиз състояни трансфеноидал аденомектом тиреоидит хашим метаболит синдром,0
D35,макроаденом хипофиз хипопитуитариз хиперпролактинем,0
D35,аденом хипофиз краниофарингеом,0
D35,аденом хипофиз инциденталом,0
D35,аденом хипофиз хормононесекретира,0
D35,аденом хипофиз хормононесекретира микроаденом,0
D35,аденом гландул хипофизеос микроаденом инциденталом,0
D35,аденом хипофиз хормононесекретира,0
D35,аденом гландул хипофизеос соматопролактином,0
D35,аденом гландул хипофизеос инциденталом,0
D35,микроаденом хипофиз пролактином,0
D35,аденом хпипофиз,0
D35,аденом хипофиз микроаденом,0
D35,аденом хпофиз,0
D35,макроаденом хипофиз хормононесекретира,0
D35,аденом хипофиз хормононесекретира състояни транссфеноидал аденомектом повод макроаденом,0
D35,аденом гландул хипофизеос пролактином,0
D35,макроаденом хипофиз соматопролактином,0
D35,макроаденом хипофиз пролактином,0
D35,аденом хипофиз хормононесекретира инциденталом,0
D35,аденом хипофиз макропролактином,0
D35,аденом гландул хипофизеос,0
D35,аденом гландул хипофизеос пролактином,0
D35,аденом хипофиз хормононесекретира артериал хипертони gr ii,0
D35,аденом хипофиз инциденталом,0
D35,аденом хипофиз хормононесекретира,0
D35,хипофиз макроаденом,0
D35,аденом хипофиз хормононесекретира,0
D35,аденом хипофиз пролактином,0
D35,микроаденом хипофиз инциденталом,0
D35,микроаденом хипофиз пролактином,0
D35,микроаденом хипофиз инциденталом,0
D35,аденом хипофиз хормононесекретира състояни транссфеноидал аденомектом,0
D35,аденом щитовид жлеза,0
D35,аденом леви дял щитовид жлеза,0
D35,аденом ляв лоб щитовид жлеза,0
D36,аденом ляв надбъбре,0
D36,аденом ляв надбъбре инциденталом,0
D36,двустран надбъбреч аденом инциденталом,0
D36,аденом десен надбъбре соnn’s аdеnом,0
D36,аденом леви надбъбре инциденталом,0
D36,аденом леви надбъбре,0
D36,аденом десен надбъбре хормононесекретира,0
D36,аденом ляв надбъбре инциденталом,0
D36,аденом ляв надбъбре инциденталом,0
D36,двустран надбъбреч аденом,0
D36,аденом надбъбре,0
D36,аденом десен надбъбре феохромоцитом,0
D36,аденом ляв надбъре хормононесекретира,0
D36,аденом ляв надбъбре хормононесекретира,0
D36,аденом десни надбъбре,0
D36,аденом надбъбре,0
D36,аденом леви надбъбре инциденталом тиреоидит хашим,0
D36,аденом десен надбъбре инциденталом,0
D36,аденом леви надбъбре хормононесекретира инциденталом,0
D36,аденом надбъбре феохромоцитом,0
D36,аденом леви надбъбре инциденталом,0
D36,аденом гл,0
D36,аденом гландул паратиреоидее синист супериор,0
D36,аденом гландул супрареналис декст инциденталом,0
D36,аденом гландул паратир,0
D50,желязодефицит анем,0
D50,желязо дефицит анем,0
D50,желязодефицит анами,0
D50,желязо дефицит анем,0
D59,аих,0
D59,автоимун хемолитич анем,0
D63,бъбреч анем,0
D64,вторич анем,0
D64,вторич анем,0
D64,анемич синдром неяс генез,0
D64,анемич синдром,0
D64,анем секундар,0
D64,анем сек,0
D64,симптоматич анем,0
D64,пернициоз анем,0
D64,анем секундар фериприв,0
D64,анемич м,0
D64,макроцит анем,0
D64,іб анем фериприв,0
D64,анем,0
D64,макроцит хиперхром анем,0
D64,лекостепен анемич м,0
D64,анем смесен хипопротеинем,0
D64,микроцит анем,0
D72,левкоп,0
D76,хистиоцитоз х,0
D82,тежък комбинира имун дефицит засяга хуморал клетъч имунитет,0
E01,струма дифуз гр і,0
E01,струма дифуз гр,0
E01,струма дифуз гр 1а еутиреоидес,0
E01,струма дифуз і ст,0
E01,струма дифуз і б,0
E01,струма дифуз 1аст,0
E01,струма дифуз гр i,0
E01,струма дифуз і аст еутироид,0
E01,струма дифуз і ст,0
E01,струма дифуз і агр,0
E01,струма дифуз гр і,0
E01,струма дифуз і хипертони артериалис ііі гр ибс,0
E01,струма дифуз і гр,0
E01,струма дифуз іа,0
E01,струма дифуз гр i,0
E01,струма дифуз і гр еутироид,0
E01,струма дифуз 1б еутиреоид състояни,0
E01,струма дифуз іб,0
E01,струма дифуз 1бст,0
E01,струма дифуз гр,0
E01,струма дифуз гр i,0
E03,медикаментоз индуцира хипотиреоидиз,0
E03,медикаментоз индуцира хипотиреоидиз,0
E03,медикаментоз компенсира хипотиреоидиз,0
E03,амиодарон индуцира субклинич хипертиреоидиз,0
E03,вторич хипотиреоидиз,0
E03,хипотиреоидизмус постоператив,0
E03,хипотиреоидиз радиойодтерапи базедов болест хронич рецидивира протичан лека форм,0
E03,хипотиреоидизмус примариус,0
E03,хипотиреоидиз постоператив,0
E03,хипотиреоидизмус компенсат,0
E03,хипотиреоидиз,0
E03,хипотиреоидизмус постоператив статус пост тиреоидектомиам ет йод терапиям проптер гландул тиреоидее,0
E03,хипотиреоидиз постоператив компенсира,0
