ICD10,Text
P71.2,неонатал хипомагнезием
P71.4,преход неонатал хипопаратиреоидиз
P71.9,преход неонатал нарушени калциев магнезиев обмя неуточн
P72.8,уточн преход неонатал ендокрин наруш
P72.9,преход неонатал ендокрин нарушени неуточн
P74.0,късн метаболит ацидоз новород
P74.9,преход нарушени обмя веществ новород неуточн
P75,мекониум илеус
P76.1,преход неонатал илеус
P76.2,чревн непроходимост причин сгъст мляко
P76.9,чревн непроходимост новород неуточн
P78.9,разстройств храносмилател систем перинатал период неуточн
P80.9,хипотерми новород неуточн
P83.6,пъпен полип новород
P83.9,изменени кожат кожн придатъ характер плода новород неуточн
P91.0,неонатал церебрал исхем
P91.1,перивентрикулар кист придоби новород
P91.3,церебрал възбудимост новород
P91.4,церебрал депреси новород
P91.5,неонатал кома
P91.9,церебрал нарушени новород неуточн
P92.0,повръщан новород
P92.4,прехранван новород
P94.0,тежк преход неонатал миаст
P94.1,вроден хипертонус
P94.8,наруш мускул тонус новород
P94.9,нарушени мускул тонус новород неуточн
P96.5,усложн предизвика вътреутроб интервенци некласифицира другад
Q04.1,ариненцефа
Q04.4,септ оптич дисплази
Q10.7,вроден анома орби
Q11.3,макрофталм
Q13.5,синя склера
Q13.9,вроден анома предни сегмент око неуточн
Q14.9,вроден анома задни сегмент око неуточн
Q17.5,проминира ухо
Q18.5,микростом
Q18.7,микрохейли
Q20.9,вроден анома сърдеч камер съобщител отвор неуточн
Q25.9,вроден анома голем артери неуточн
Q32.2,вроден бронхомалаци
Q35.6,цепк небц средин
Q39.4,езофагеал ципес прегра
Q43.5,ектопич анус
Q53.0,ектопич тестис
Q54.1,хипоспад полов член
Q54.4,хипоспад вроден хорд
Q54.8,форм хипоспад
Q55.3,атрези vas deferens
Q62.4,агенези уретер
Q64.6,вроден дивертикул пикоч мехур
Q65.3,вроден сублуксаци бедр едностран
Q65.5,вроден сублуксаци бедр неуточн
Q66.1,варус изкривяван кост пета talipes calcaneovarus
Q66.2,варус метатарзал кост metatarsus varus
Q66.4,валгус изкривяван кост пета talipes calcaneovalgus
Q67.0,лицев асиметри
Q67.1,смачка компресира лице
Q67.2,долихоцефа
Q75.2,хипертелориз
Q75.3,макроцефа
Q75.5,окуломандибулар дизостоз
Q77.9,остеохондродисплази дефект растеж тръбест кост гръбнач стълб неуточн
Q95.1,хромозом инверси нормал индивид
Q95.3,балансира преустройств включва автозом полов хромозом анормал индивид
Q95.4,индиви маркер хетерохромати
Q95.8,балансира преустройств структур маркер
Q97.3,жена кариотип 46
Q98.3,вариант мъжк фенотип кариотип 46 хх
R01.1,неуточн сърдеч шум
R04.1,кръвотечени гърл
R04.9,кръвотечени дихател пътищ неуточн
R06.1,стридор
R06.2,свирещ дишан
R06.6,хълцан
R06.7,кихан
R07.0,болк гърл
R07.4,болк гърд неуточн
R19.3,напрежени корем
R19.4,промен дейност черв
R20.3,хиперестези
R23.0,цианоз
R23.2,хиперем
R25.3,фасцикулаци
R27.0,атакси неуточн
R29.1,менингиз
R29.4,щрака бедр
R30.0,дизур
R30.1,тенезм пикоч мехур
R43.0,аносми
R44.0,слухов халюцинаци
R44.3,халюцинаци неуточн
R45.5,враждебност
R45.6,физическ агресивност
R45.8,симптом призна отнас емоционал състояни
R46.1,причудлив външ вид
R46.3,прекомер активност
R46.6,прекомер интерес повиш внимани стресов съби
R46.7,многослови излиш подробност правещ неяс причин контакт
R49.0,дисфони
R52.0,ост болк
R52.1,постоян болк купир
R57.1,хиповолемич шок
R61.0,локализира хиперхидроз
R61.1,генерализира хиперхидроз
R63.5,анормал прибавян телес тегл
R68.2,сухот уст неуточн
R70.1,анома вискозите плазм кръвт
R74.9,анормал съдържани неуточн ензим серум
R76.9,отклонени норм откри имунологич изследван серум неуточн
R77.2,отклонени алф фетопротеин норм
R77.8,уточн отклон норм белтъ плазм
R78.1,откриван опиат кръвт
R78.2,откриван кокаин кръвт
R78.3,откриван халюциноген кръвт
R78.4,откриван наркотич веществ кръвт
R78.5,откриван психотроп веществ кръвт
R78.6,откриван стероид агент кръвт
R78.7,откриван отклон норм съдържани тежк мета кръвт
R79.9,отклонени норм химич състав кръвт
R81,гликозур
R82.2,билиур
R82.4,ацетонур
R83,отклон норм откри изследван ликвор
R90.0,вътречереп обем поражени
R92,отклон норм откри получаван диагностич изображ хода изследван млечн жлеза
R93.6,отклон норм откри получаван диагностич изображ хода изследван крайни
R93.7,отклон норм откри получаван диагностич изображ хода изследван отдел кост мускул систем
R94.5,отклон норм откри изследван функци черни дроб
R94.6,отклон норм откри изследван функци щитовид жлеза
R94.7,отклон норм откри изследван функци ендокрин жлези
S00.9,повърхност травми глават неуточн локализаци
S01.2,откри рана носа
S01.9,откри рана глават неуточн локализаци
S04.9,травма черепномозъч нерв неуточн
S06.1,травматич церебрал едем
S07.1,смазван череп
S07.9,смазван неуточн част глават
S09.1,травма мускул сухожили глават
S11.1,откри рана обхваща щитовид жлеза
S11.9,откри рана неуточн част шият
S12.2,счупван уточн шийн прешлен
S13.0,травматич разкъсван междупрешлен диск ниво шия
S13.6,навяхван разтяган стави ставн връзк неуточн част шият
S14.0,контузи ото шийни отдел гръбнач мозъ
S14.6,травма неуточн нерв шият
S15.0,травма сънн артери
S15.1,травма вертебрал артери
S15.2,травма външ югулар вена
S15.3,травма вътреш югулар вена
S15.8,травма кръвонос съдов ниво шия
S15.9,травма неуточн кръвонос съд ниво шия
S16,травма мускул сухож ниво шия
S17.8,смазван част шият
S17.9,смазван неуточн част шият
S20.0,контузи млечн жлеза
S21.0,откри рана млечн жлеза
S21.7,множеств откри рани стена гръдни кош
S21.8,откри рана част гръдни кош
S22.9,счупван неуточн част кост гръдни кош
S23.0,травматич разкъсван междупрешлен диск гръдн част гръбнач стълб
S23.5,навяхван разтяган ставни апара неуточн част гръдни кош
S24.0,контузи ото гръдн част гръбнач мозъ
S24.3,травма перифер нерв гръдни кош
S24.5,травма нерв гръдни кош
S24.6,травма неуточн нерв гръдни кош
S25.4,травма белодроб кръвонос съдов
S25.5,травма междуребр кръвонос съдов
S25.9,травма неуточн кръвонос съд гръдни кош
S27.4,травма бронхит
S28.1,травматич ампутаци част гръдни кош
S29.0,травма мускул сухожили ниво гръден кош
S29.8,уточн травми гръдни кош
S32.4,счупван ацетабулум
S33.0,травматич скъсван междупрешлен диск лумбосакрал част гръбнач стълб
S34.0,сътресени едем пояс отдел гръбнач мозъ
S34.1,травма пояс отдел гръбнач мозъ
S35.4,травма бъбреч кръвонос съдов
S37.4,травма яйчни
S37.5,травма фалопиев тръба
S41.0,откри рана рамен пояс
S41.1,откри рана мишниц
S42.9,счупван неуточн част рамен пояс
S43.2,изкълчван стерноклавикулар става
S43.5,навяхван разтяган акромиоклавикулар става
S43.6,навяхван разтяган стерноклавикулар става
S44.0,травма нервус улнарис ниво мишниц
S44.1,травма нервус медианус ниво мишниц
S44.4,травма кожно мускул нерв
S45.0,травма аксилар артери
S45.1,травма брахиал артери
S46.2,травма мускул сухожили част двуглав мускул
S46.3,травма мускул сухожили триглав мускул
S48.1,травматич ампутаци ниво рамен лакът става
S50.1,контузи неуточн част предмишниц
S50.8,повърхност травми предмишниц
S51.0,откри рана лакът
S51.8,откри рана част предмишниц
S51.9,откри рана неуточн част предмишниц
S52.2,счупван тялот диафиз лакът кост
S52.3,счупван тялот диафиз лъчев кост
S52.9,счупван неуточн част кост предмишниц
S53.2,травматич скъсван колатерал връзк радиус
S53.3,травматич скъсван колатерал връзк улн
S54.0,травма лакът нерв ниво предмишниц
S54.1,травма нервус медианус ниво предмишниц
S54.2,травма нервус радиалис ниво предмишниц
S54.3,травма кожно сензор нерв ниво предмишниц
S54.8,травма нерв ниво предмишниц
S54.9,травма неуточн нерв ниво предмишниц
S55.2,травма вени ниво предмишниц
S55.8,травма кръвонос съдов ниво предмишниц
S55.9,травма неуточн кръвонос съд ниво предмишниц
S56.0,травма флексор мускул сухож палец ниво предмишниц
S56.1,травма флексор мускул сухож пръст ниво предмишниц
S56.2,травма флексор мускул сухожили ниво предмишниц
S56.4,травма екстензор мускул сухож пръст ниво предмишниц
S56.5,травма екстензор мускул сухожили ниво предмишниц
S56.8,травма неуточн мускул сухож ниво предмишниц
S57.0,смазван лакът
S57.8,смазван част предмишниц
S57.9,смазван неуточн част предмишниц
S58.0,травматич ампутаци ниво лакът
S58.1,травматич ампутаци ниво лакът китк
S58.9,травматич ампутаци предмишниц неуточн ниво
S62.5,счупван палец ръкат
S65.0,травма лакът артери ниво китк длан
S65.1,травма лъчев артери ниво китк длан
S65.2,травма повърхност палмар дъга длант
S65.3,травма дълбок палмар дъга длант
S66.0,травма дълги флексор мускул сухожили палец ниво китк длан
S66.1,травма флексор мускул сухожили пръст ниво китк длан
S66.2,травма екстензор мускул сухожили палец ниво китк длан
S66.3,травма екстензор мускул сухожили пръст ниво китк длан
S66.4,травма вътреш мускул сухожили палец ниво китк длан
S66.5,травма вътреш мускул сухожили пръст ниво китк длан
S66.8,травма мускул сухож ниво китк длан
S68.0,травматич ампутаци палец ръкат пълн частич
S68.1,травматич ампутаци пръст ръкат пълн частич
S68.2,травматич ампутаци пръст ръкат пълн частич
S68.4,травматич ампутаци ръкат ниво китк
S70.0,контузи област тазобедр става
S71.0,откри рана област тазобедр става
S71.1,откри рана бедр
S71.8,откри рана неуточн част тазов пояс
S72.2,субтрохантер фрактур
S72.3,счупван тялот диафиз бедр кост
S72.8,счупва част бедр кост
S72.9,счупван неуточн част бедр кост
S75.0,травма бедр артери
S75.1,травма бедр вена
S76.0,травма мускул сухожили област тазобедр става
S76.2,травма аддуктор мускул сухожили
S76.4,травма неуточн мускул сухож ниво бедр
S77.0,смазван област тазобедр става
S77.1,смазван бедр
S78.1,травматич ампутаци ниво тазобедр колен става
S80.8,повърхност травми подбедриц
S81.0,откри рана коля
S81.9,откри рана подбедриц неуточн локализаци
S82.2,счупван тялот диафиз тиби
S82.4,счупван само фибу
S82.9,счупван неуточн част подбедриц
S84.0,травма тибиал нерв ниво подбедриц
S84.1,травма нервус перунеус ниво подбедриц
S84.8,травма нерв ниво подбедриц
S84.9,травма неуточн нерв ниво подбедриц
S85.0,травма подколен артери
S85.1,травма a tibialis предн задн
S85.2,травма a peronealis
S85.5,травма vena poplitea
S85.8,травма кръвонос съдов ниво подбедриц
S86.1,травма мускул сухожили задн мускул група ниво подбедриц
S86.2,травма мускул сухожили предн мускул група ниво подбедриц
S86.3,tравма мускул сухожили групат перонеус ниво подбедриц
S86.8,tравма мускул сухож ниво подбедриц
S86.9,tравма неуточн мускул сухож ниво подбедриц
S87.0,смазван колен става
S87.8,смазван неуточн част подбедриц
S88.0,травматич ампутаци ниво коля
S88.1,травматич ампутаци ниво коля глезен
S88.9,травматич ампутаци подбедриц неуточн ниво
S89.8,уточн травми подбедриц
S90.0,контузи глезен
S91.0,откри рана област глезен
S92.9,счупван стъпа неуточн
S95.0,травма артери дорзалис педис
S95.1,травма артери плантарис педис
S95.2,травма дорзал вена стъпа
S97.0,смазван глезен
S97.1,смазван пръст стъпа
S98.0,травматич ампутаци стъпа ниво глезен
S98.4,травматич ампутаци стъпа неуточн ниво
T00.2,повърхност травми облас горен крайни ци
T00.3,повърхност травми облас долен крайни ци
T00.9,множеств повърхност травми неуточн
T04.9,множеств смазва неуточн
T05.0,травматич ампутаци китк
T05.3,травматич ампутаци стъпа
T05.6,травматич ампутаци горен долен крайни комбинаци ниво
T05.9,множеств травматич ампутаци неуточн
T06.8,уточн травми включван облас тялот
T07,множеств травми неуточн
T08,счупван гръбнач стълб неуточн ниво
T09.1,откри рана тялот неуточн ниво
T09.5,травма неуточн мускул сухож тялот
T09.6,травматич ампутаци тялот неуточн ниво
T09.8,уточн травми тялот неуточн ниво
T10,счупван горен крайни неуточн ниво
T11.1,откри рана горен крайни неуточн ниво
T11.4,травма неуточн кръвонос съд горен крайни неуточн ниво
T11.8,уточн травми горен крайни неуточн ниво
T11.9,неуточн травма горен крайни неуточн ниво
T12,счупван долен крайни неуточн ниво
T13.1,откри рана долен крайни неуточн ниво
T13.4,травма неуточн кръвонос съд долен крайни неуточн ниво
T13.8,уточн травми долен крайни неуточн ниво
T13.9,неуточн травма долен крайни неуточн ниво
T15.9,чужд тяло неуточн част външ око
T18.1,чужд тяло хранопровод
T19.0,чужд тяло уретр
T19.1,чужд тяло пикоч мехур
T19.9,чужд тяло неуточн част пикоч полов пътищ
T20.0,термич изгарян глават шият неуточн степен
T20.1,термич изгарян глават шият първ степен
T20.2,термич изгарян глават шият втора степен
T20.3,термич изгарян глават шият трета степен
T20.4,химич изгарян глават шият неуточн степен
T20.5,химич изгарян глават шият първ степен
T20.6,химич изгарян глават шият втора степен
T20.7,химич изгарян глават шият трета степен
T21.0,термич изгарян тялот неуточн степен
T21.1,термич изгарян тялот първ степен
T21.2,термич изгарян тялот втора степен
T21.3,термич изгарян тялот трета степен
T21.4,химич изгарян тялот неуточн степен
T21.5,химич изгарян тялот първ степен
T21.6,химич изгарян тялот втора степен
T21.7,химич изгарян тялот трета степен
T22.0,термич изгарян неуточн степен област рамен пояс горни крайни китк длант
T22.1,термич изгарян първ степен област рамен пояс горни крайни китк длант
T22.2,термич изгарян втора степен област рамен пояс горни крайни китк длант
T22.3,термич изгарян трета степен област рамен пояс горни крайни китк длант
T22.4,химич изгарян неуточн степен рамен пояс горни крайни китк длант
T22.5,химич изгарян първ степен област рамен пояс горни крайни китк длант
T22.6,химич изгарян втора степен област рамен пояс горни крайни китк длант
T22.7,химич изгарян трета степен област рамен пояс горни крайни китк длант
T23.0,термич изгарян неуточн степен китк длант
T23.1,термич изгарян първ степен китк длант
T23.2,термич изгарян втора степен китк длант
T23.3,термич изгарян трета степен китк длант
T23.4,химич изгарян неуточн степен китк длант
T23.5,химич изгарян първ степен китк длант
T23.6,химич изгарян втора степен китк длант
T23.7,химич изгарян трета степен китк длант
T24.0,термич изгарян неуточн степен област тазобедр става долни крайни глезен стъпа
T24.1,термич изгарян първ степен област тазобедр става долни крайни глезен стъпа
T24.2,термич изгарян втора степен област тазобедр става долни крайни глезен стъпа
T24.3,термич изгарян трета степен област тазобедр става долни крайни глезен стъпа
T24.4,химич изгарян неуточн степен област тазобедр става долни крайни глезен стъпа
T24.5,химич изгарян първ степен област тазобедр става долни крайни глезен стъпа
T24.6,химич изгарян втора степен област тазобедр става долни крайни глезен стъпа
T24.7,химич изгарян трета степен област тазобедр става долни крайни глезен стъпа
T25.0,термич изгарян неуточн степен област глезен стъпа
T25.1,термич изгарян първ степен област глезен стъпа
T25.2,термич изгарян втора степен област глезен стъпа
T25.3,термич изгарян трета степен област глезен стъпа
T25.4,химич изгарян неуточн степен област глезен стъпа
T25.5,химич изгарян първ степен област глезен стъпа
T25.6,химич изгарян втора степен област глезен стъпа
T25.7,химич изгарян трета степен област глезен стъпа
T26.2,термич изгарян водещ разкъсван разрушаван очн ябълк
T26.7,химич изгарян водещ разкъсван разрушаван очн ябълк
T27.2,термич изгарян част дихател тракт
T27.6,химич изгарян част дихател пътищ
T28.1,термич изгарян хранопровод
T28.4,термич изгарян неуточн вътреш орга
T28.6,химич изгарян хранопровод
T29.0,термич изгаря неуточн степен облас тялот
T29.1,термич изгаря първ степен облас тялот
T29.2,термич изгаря втора степен облас тялот
T29.3,термич изгаря посочван само изгарян трета степен облас тялот
T29.4,химич изгаря неуточн степен облас тялот
T29.5,химич изгаря първ степен облас тялот
T29.6,химич изгаря втора степен облас тялот
T29.7,химич изгаря посочван само химич изгарян трета степен облас тялот
T30.1,термич изгарян първ степен неуточн локализаци
T30.2,термич изгарян втора степен неуточн локализаци
T30.3,термич изгарян трета степен неуточн локализаци
T30.5,химич изгарян първ степен неуточн локализаци
T30.6,химич изгарян втора степен неуточн локализаци
T30.7,химич изгарян трета степен неуточн локализаци
T31.0,термич изгарян малк 10% повърхност тялот
T31.1,термич изгарян 10 19% повърхност тялот
T31.2,термич изгарян 20 29% повърхност тялот
T31.3,термич изгарян 30 39% повърхност тялот
T31.4,термич изгарян 40 49% повърхност тялот
T31.5,термич изгарян 50 59% повърхност тялот
T31.6,термич изгарян 60 69% повърхност тялот
T31.7,термич изгарян 70 79% повърхност тялот
T31.8,термич изгарян 80 89% повърхност тялот
T31.9,термич изгарян 90% повърхност тялот
T32.0,химич изгарян малк 10% повърхност тялот
T32.1,химич изгарян 10 19% повърхност тялот
T32.2,химич изгарян 20 29% повърхност тялот
T32.3,химич изгарян 30 39% повърхност тялот
T32.4,химич изгарян 40 49% повърхност тялот
T32.5,химич изгарян 50 59% повърхност тялот
T32.6,химич изгарян 60 69% повърхност тялот
T32.7,химич изгарян 70 79% повърхност тялот
T32.8,химич изгарян 80 89% повърхност тялот
T32.9,термич изгарян 90% повърхност тялот
T33.1,повърхност измръзван шият
T33.2,повърхност измръзван гръдни кош
T33.4,повърхност измръзван ръкат
T34.1,измръзван некроз тъка област шият
T34.2,измръзван некроз тъка област гръдни кош
T34.4,измръзван некроз тъка област ръкат
T35.1,измръзван некроз тъка обхваща облас тялот
T35.6,измръзван облас тялот неуточн
T35.7,неуточн измръзван неуточн локализаци
T36.0,пеницилин
T36.1,цефалоспорин лактамазообразува aнтибиоти
T36.2,групат хлорамфеникол
T36.3,макролид
T36.4,тетрациклин
T36.5,аминоглюкозид
T36.6,рифампицин
T36.7,антимикотич антибиоти систем действи
T36.8,системнодейства антибиоти
T36.9,антибиоти систем действи неуточн
T37.1,антимикобактериал препарат
T37.3,антипротозойн препарат
T37.4,противохелминт лекарств средств
T37.5,противовирус препарат
T37.9,противомикроб противопаразит средств систем действи неуточн
T38.1,тиреоид хормон производ
T38.2,антитиреоид препарат
T38.4,перорал контрацептив
T38.5,естроген прогестоген
T38.6,антигонадотропин антиестроген антиандроген некласифицира другад
T38.7,андроген анабол анало
T38.8,неуточн хормон синтетич заместит
T38.9,неуточн антагонист хормон
T39.0,салицилат
T39.1,производ 4 aminophenol
T39.2,производ пиразолон
T39.3,нестероид противовъзпалител средств nsaid
T39.4,противоревматич средств
T39.8,неопиоид аналгети антипирети некласифицира другад
T39.9,неопиоид аналгети антипирети противоревматич средств неуточн
T40.3,метадон
T40.4,синтетич наркоти
T40.7,канабис производ
T40.8,лизергид lsd
T40.9,неуточн психодислепти халюциноген
T41.0,средств инхалацион наркоз
T41.1,интравеноз анестети
T41.2,неуточн средств общ наркоз
T41.3,локал анестети
T41.4,анестезира средств неуточн
T41.5,терапевтич газов
T42.0,производ хидантоин
T42.1,иминостилбен
T42.2,сукцинимид оксазолидиндион
T42.3,барбитурат
T42.4,бензодиазепин
T42.5,смесен антиепилептич препарат некласифицира другад
T42.6,антиепилептич седатив сънотвор средств
T42.7,антиепилептич седатив сънотвор средств неуточн
T42.8,лекарств паркинсониз мускул депресант централ действи
T43.1,антидепресант инхибитор моноаминоксидаз
T43.2,неуточн антидепресант
T43.3,антипсихотич невролептич препарат базат фенотиази
T43.4,бутирофенонов тиоксантенов невролепти
T43.5,неуточн антипсихотич невролептич препарат
T43.6,психостимулира средств възможност пристрастяван
T43.8,психотроп средств некласифицира другад
T43.9,психотроп средств неуточн
T44.0,инхибитор холинестераз
T44.1,парасимпатикомимети холинерги
T44.2,ганглиоблокира средств некласифицира другад
T44.3,парасимпатиколитич антихолинергич антимускаринов спазмолитич средств некласифицира другад
T44.4,агонист адренорецептор некласифицира другад
T44.5,агонист адренорецептор некласифицира другад
T44.6,антагонист адренорецептор некласифицира другад
T44.7,антагонист адренорецептор некласифицира другад
T44.8,централнодейства адреноневронблокира средств некласифицира другад
T44.9,неуточн лекарств средств действа вегетатив нерв систем
T45.0,антиалергич антиеметич средств
T45.3,ензим некласифицира другад
T45.4,желязо съединен
T45.5,антикоагулант
T45.6,средств въздейства фибринолиз
T45.7,антагонист антикоагулант витами к коагулант
T45.8,препарат систем действи хематологич агент
T45.9,препарат систем действи хематологич агент неуточн
T46.1,блокер калци каналче
T46.2,антиаритмич средств некласифицира другад
T46.3,коронар вазодилатор некласифицира другад
T46.4,инхибитор ангиотензинконвертира ензим
T46.5,хипотензив средств некласифицира другад
T46.6,антихиперлипидемич антиатеросклеротич средств
T46.7,перифер вазодилататор
T46.8,антиварикоз средств включител склерозира агент
T46.9,неуточн средств влияещ сърдеч съдов систем
T47.0,антагонист хистаминов h2 рецептор
T47.1,антиацид препарат препарат потиска стомаш секреци
T47.2,дразн слабител средств
T47.3,солев осмотич слабител средств
T47.4,лаксатив средств
T47.5,препарат стимулира храносмилан
T47.6,антидиари лекарств средств
T47.7,емети
T47.8,средств действа храносмилател систем
T47.9,лекарств средств действа храносмилател систем неуточн
T48.0,окситоцин
T48.1,миорелаксант блокер н холинорецептор набразд мускулатур
T48.2,неуточн средств действа мускулатур
T48.3,противокашлеч средств
T48.4,отхрачва средств
T48.5,средств хрема
T48.6,антиастматич средств некласифицира другад
T48.7,неуточн средств действа дихател систем
T49.0,локал антимикотич противоинфекциоз противовъзпалител средств некласифицира другад
T49.1,противосърбеж средств
T49.2,локал астрингент детергент
T49.3,смекчава успокоява протектор защит медикамент
T49.4,кератолитич кератопластич препарат средств лечени косат
T49.5,офталмологич средств препарат
T49.6,оториноларингологич средств препарат
T49.7,локалнодейства лекарств средств стоматологи
T49.8,средств локал приложени
T49.9,средств локал приложени неуточн
T50.0,минералкортикоид антагонист
T50.1,бримков диурети висок прагов
T50.2,инхибитор карбоанхидраз бензотиадиази диуретич средств
T50.3,препарат влияещ електролит калори водни баланс
T50.5,средств потиска апетит
T50.6,антидот хелатообразуват некласифицира другад
T50.7,аналептич средств антагонист опиум рецептор
T50.8,диагностич средств
T51.0,етанол
T51.2,2 пропанол
T51.3,фузелов масл
T51.8,видов алкохол
T51.9,алкохол неуточн
T52.0,нефтопродукт
T52.1,бензол
T52.2,хомоло бензол
T52.3,гликол
T52.4,кетон
T52.9,органич разтворит неуточн
T53.0,въглерод тетрахлорид
T53.1,хлороформ
T53.2,трихлоретил
T53.3,тетрахлоретил
T53.4,дихлормета
T53.5,хлорфлуоровъглерод
T53.6,халогенпроизвод алифат въглеводород
T53.7,халогенпроизвод аромат въглеводород
T53.9,халогенпроизвод алифат аромат въглеводород неуточн
T54.0,фенол хомоло
T54.1,разяжда органич веществ
T54.2,корозив киселин киселиноподоб веществ
T54.3,корозив основ алкалоподоб веществ
T54.9,разяжда корозив веществ неуточн
T55,токсич въздействи сапун детергент
T56.2,хром съедин
T56.3,кадми съедин
T56.4,мед съедин
T56.5,цинк съедин
T56.6,кала съедин
T56.7,берили съедин
T56.9,мета неуточн
T57.0,арс съедин
T57.1,фосфор съедин
T57.3,циановодород
T57.8,уточн неорганич веществ
T57.9,неорганич веществ неуточн
T59.0,азот окис
T59.1,серен двуокис
T59.2,формалдехид
T59.3,сълзотвор газ
T59.4,газообраз хлор
T59.5,газообраз флуор флуороводород
T59.6,сероводород
T59.7,въглерод двуокис
T60.0,фосфорорганич карбамат инсектицид
T60.1,халоген инсектицид
T60.2,инсектицид
T60.4,родентицид
T60.8,пестицид
T60.9,пестицид неуточн
T64,токсич ефект замърс хранител продукт афлатокси микотоксин
T65.1,стрихни соли
T65.2,тютюн никоти
T65.3,нитропроизвод аминопроизвод бензол хомоло
T65.4,въглерод дисулфид
T65.5,нитроглицери азот киселин естер
T65.6,бои оцветит некласифицира другад
T65.8,токсич ефект уточн веществ
T73.8,прояв деприваци
T73.9,ефект деприваци неуточн
T78.8,неблагоприят въздействи некласифицира другад
T78.9,неблагоприят въздействи неуточн
T79.1,маст ембо травматич
T79.9,ранн усложнени травми неуточн
T90.3,последи травма черепномозъч нерв
T90.9,последи неуточн травма глават
T91.4,последи травма вътрегръд орга
T92.0,последи откри рана горен крайни
T92.4,последи травма нерв горен крайни
T92.9,последи неуточн травма горен крайни
T93.0,последи откри рана долен крайни
T93.2,последи счупва долен крайни
T93.4,последи травма нерв долен крайни
T93.9,последи неуточн травма долен крайни
T95.4,последи термич химич изгаря класифицира само съответстви площта пораз участъ тялот
T98.0,последи въздействи чужд тяло попадн естеств отвор тялот
T98.2,последи ранн усложн травми
V01,пешеход пострада сблъскван велосипед
V02,пешеход пострада сблъскван мотор превоз средств три коле
V03,пешеход пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V04,пешеход пострада сблъскван тежкотовар автомоб автобус
V05,пешеход пострада сблъскван влак железопът транспорт средств
V06,пешеход пострада сблъскван немотор транспорт средств
V09.0,пешеход пострада непът злополу свърза неуточн мотор превоз средств
V09.1,пешеход пострада неуточн непът злополу
V09.2,пешеход пострада пътн злополу свърза неуточн мотор превоз средств
V09.3,пешеход пострада неуточн пътн злополу
V09.9,пешеход пострада неуточн транспорт злополу
V10,велосипедист пострада сблъскван пешеход живот
V11,велосипедист пострада сблъскван велосипед
V12,велосипедист пострада сблъскван мотор превоз средств три коле
V13,велосипедист пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V14,велосипедист пострада сблъскван тежкотовар автомоб автобус
V15,велосипедист пострада сблъскван влак железопът транспорт средств
V16,велосипедист пострада сблъскван немотор транспорт средств
V17,велосипедист пострада сблъскван закреп стационар обект
V18,велосипедист пострада транспорт злополу сблъскван
V19.0,велосипедист водач пострада сблъскван неуточн мотор превоз средств непът злополу
V19.1,пътни пострада сблъскван неуточн мотор превоз средств злополу
V19.2,велосипедист допълнител уточняван пострада сблъскван неуточн мотор превоз средств непът злополу
V19.3,велосипедист пострада неуточн непът злополу
V19.4,велосипедист водач пострада сблъскван неуточн мотор превоз средств пътн злополу
V19.5,пътни пострада сблъскван неуточн мотор превоз средств пътн злополу
V19.6,велосипедист допълнител уточнени пострада сблъскван неуточн мотор превоз средств пътн злополу
V19.8,велосипедист пострада уточн пътн злополук
V19.9,велосипедист пострада неуточн пътн злополу
V20,мотоциклетист пострада сблъскван пешеход живот
V21,мотоциклетист пострада сблъскван велосипед
V22,мотоциклетист пострада сблъскван мотор превоз средств три коле
V23,мотоциклетист пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V24,мотоциклетист пострада сблъскван тежкотовар автомоб автобус
V25,мотоциклетист пострада сблъскван влак железопът транспорт средств
